2202961,94.95
2202960,90.24
2203202,93.21
2202959,91.88
2202958,96.61
986415,99
986416,95
986417,66
2349961,51
2349962,56
2349964,57
2349965,64
2374538,97
2416790,84
2416794,16
2416791,47
2416792,64
2416793,33
2416796,1
2144839,83.11
2144842,90.77
1996791,74
1996796,45
1996800,67
1996795,89
1996738,42
1996792,83
1996798,61
1996797,85
1996799,87
1996801,76
1996793,68
1996737,68
1996803,61
2039972,25.8
2039970,19.3
2039971,3.8
1013281,32.4
1013283,16
1013284,13.1
1013280,15.4
133946,10.1
1211920,37.2
1211921,35.8
2005656,16.4
198236,12.7
198239,17
198242,2.5
198237,1
2034779,13
2034780,53
876712,37
838846,81
838852,38
1960448,55
1960449,53
1960446,51
1888943,56
1888939,66
1888944,63
1888941,83
1888942,82
2105005,45
2105006,25
1585191,0.5
1585192,45
1585530,20
1585529,13
1585527,1
1585526,44
1585525,16
1585190,14
1152188,95.2
1123073,81.5
1062130,85.6
1062131,90.3
1062132,72.3
1062286,91.7
1062136,80
200365,76.2
266315,26.1
1062134,30.8
814674,82.3
1062137,77.3
203802,70.8
266313,0.18
2074455,100
2074456,60
2105821,63
2074457,96
2048827,50
2048830,64
2048824,36
2048828,91
1476246,85.6
1476241,95.7
1476248,96.1
1476247,70.2
1476244,67.1
736129,70.1
2429961,57.67
2429967,56.72
2429962,97.64
2447655,76
2467951,85
2467952,81
2467494,95.78
2467495,50.7
2467496,83.55
2467497,85.08
2467498,71.35
2467499,95.12
2467500,86.61
2467501,89.9
2144839,83.11
2144842,90.77
1995845,26
1995846,10
1999342,78
1995847,16
1999343,56
1999344,50
1505303,1.1
1505304,4.1
1829011,1.8
1992241,58
1992242,93
2021079,33
2084192,91.8
(C12H24O6)CsCu2Br3,78.3
2371444,0.4
2408590,93
2456019,95
2323771,84.66
R-MBA4Cu4I8-2H2O,21.4
S-MBA4Cu4I8-2H2O,21.8
2236271,89.76
2236273,95.04
2253788,93.52
2121297,97.2
2513886,96.3
2513887,17.3
2513888,86.5
2513891,97
2513890,90.9
2392556,9.4
2392565,49.4
2392566,72.1
2258339,22
2483059,98
2483062,8.9
2483063,98.6
2483061,99
1888940,50
1529811,75
1529812,92
1529813,92
1529809,75
1529815,70
1529816,90
1498474,61
1529814,90
1529810,64
1529817,70
1579827,4
1579828,1.1
1579829,1
1579830,3.5
1943654,25
1943659,29
1943661,80
1943658,70
1943660,53
1943655,85
1943652,68
1943653,53
2032011,56
1943651,69
2032012,69
2387357,38.5
2387361,77.4
2387371,42.5
1582206,18
1582204,50
1582205,72
875630,64
2227210,21
2227209,15
2227207,34
2227208,38
2227211,64
2260238,0.1
2350403,0.3
